Var1,media,varianza,asimetria,curtosis,entropia,contraste,correlacion,energia,homogeneidad
imagen1,83.890625,9466.631127,1.698557117,7.04404984,0.851806189,0.013919839,0.994202731,0.901224202,0.997730786
imagen2,83.8671875,59045.16661,4.191150128,23.35216115,0.967661552,0.007542261,0.994358862,0.902242345,0.998309997
imagen3,69.96875,10482.21078,1.211033807,3.279414376,0.999955972,0.003339071,0.993949391,0.9175162,0.998833556
imagen4,33.515625,2414.705637,2.491577694,13.10237131,0.935455765,0.007190038,0.992016297,0.959530528,0.998658658
imagen5,31.53125,2021.606863,1.48923155,4.374694028,0.972305101,0.006786156,0.989733299,0.961861964,0.998876175
imagen6,100.1015625,16955.24455,1.141830246,3.560725399,0.984047164,0.008298365,0.995753451,0.883347112,0.998040625
imagen7,129.9765625,27044.40729,1.08945275,2.849136821,0.851806189,0.018132422,0.995151889,0.8504314,0.99750968
imagen8,88.37109375,14708.2892,1.655308627,5.201897495,0.908910327,0.015441441,0.993368415,0.896395646,0.998130324
imagen9,93.66015625,9485.087975,1.071073919,3.527070855,0.805027956,0.011510636,0.994621441,0.890437209,0.998041172
imagen10,108.78125,17184.66569,1.345566236,4.095803053,0.846354101,0.017258909,0.994184673,0.873381398,0.997876506
imagen11,85.234375,15129.16838,1.844646741,7.027741195,0.990071,0.008401684,0.993780967,0.899792864,0.998114865
imagen12,75.875,25896.98824,3.405524572,16.73058372,0.995592754,0.009115522,0.995240103,0.911025669,0.998440515
imagen13,41.8671875,9897.197978,3.503589392,15.63124476,0.935455765,0.013032238,0.993884971,0.950003568,0.998641066
imagen14,69.359375,63831.12525,5.257482449,31.49428995,0.957265877,0.023843125,0.993567005,0.918789483,0.998513987
imagen15,69.16796875,70139.85795,6.055631918,44.16975683,0.985687679,0.025688771,0.993029678,0.918881924,0.998302443
imagen16,87.05078125,34455.45231,2.799058935,10.4816736,0.972305101,0.02081401,0.994855643,0.898224736,0.997862925
imagen17,87.13671875,11897.64006,2.049299616,7.542874938,0.79865913,0.012614267,0.995815679,0.897731444,0.997758964
imagen18,151.7304688,55305.10746,2.361152065,8.547741389,0.811278124,0.017263606,0.996714063,0.827063843,0.99670688
imagen19,151.765625,119091.9056,3.914776067,19.7117546,0.712453445,0.023908873,0.996586982,0.828772907,0.997308404
imagen20,37.1953125,1874.989154,1.209833768,3.970217672,0.912999214,0.009030989,0.989789239,0.95514765,0.998695641
imagen21,51.3203125,4554.744056,1.501627935,4.997707552,0.954434003,0.00918127,0.992850663,0.938672771,0.998317354
imagen22,125.8515625,33358.45631,1.815782027,5.696459153,0.857148437,0.013285838,0.996401209,0.855025996,0.997679166
imagen23,89.6953125,15360.28327,1.625567498,5.175586446,0.972305101,0.015272374,0.994448511,0.894974461,0.998107245
imagen24,70.28515625,8604.581112,1.51792833,4.998016533,0.912999214,0.013647453,0.992760723,0.916647429,0.99782526
imagen25,96.0234375,20198.1171,1.389434825,3.79541111,0.994666089,0.012060103,0.993956816,0.887892305,0.998004267
imagen26,76.9609375,9513.449449,1.479824767,4.614797677,0.924669106,0.008951151,0.99473926,0.909293992,0.998001919
imagen27,27.2578125,4016.411703,2.808009271,11.40976058,0.896038233,0.002376329,0.987431397,0.967037483,0.999343692
imagen28,98.72265625,20936.7267,1.405224246,3.79696395,0.978584485,0.010050086,0.995678032,0.885107011,0.998126019
imagen29,40.35546875,4056.120205,1.659286509,4.891051598,0.999603716,0.005255162,0.991308316,0.95154904,0.998916446
imagen30,28.7578125,2922.15288,3.809812367,21.2351896,0.935455765,0.01888383,0.985317203,0.964989968,0.998541365
imagen31,197.9882813,55241.66653,1.049504024,3.165207591,0.900430489,0.01708045,0.993226811,0.778254988,0.997175733
imagen32,198.84375,57090.43039,1.175062907,3.713115829,0.900430489,0.01738571,0.99479236,0.776974174,0.996839847
imagen33,131.34375,14754.79902,0.553859231,2.768083339,0.785560292,0.02252816,0.993018863,0.848173209,0.99750157
imagen34,19.9921875,501.7803309,0.897136833,2.956273759,0.877437311,0.007208823,0.989033548,0.975649857,0.999181043
imagen35,85.328125,7475.860539,0.573341307,2.146812625,0.872525362,0.010543198,0.994106432,0.899561783,0.99791695
imagen36,77.890625,15746.56054,2.300307938,7.803913308,0.862381784,0.019592972,0.994389978,0.908287742,0.997827804
imagen37,90.09375,21156.77549,1.918872058,6.027363803,0.945373209,0.013149645,0.994834257,0.894740191,0.998095141
imagen38,26.98828125,5290.450843,3.376944434,14.19943506,0.928362072,0.00364433,0.985458186,0.967334279,0.999248631
imagen39,41.19140625,9700.704396,3.540374129,16.05108306,0.996430823,0.003766434,0.991404608,0.950765829,0.999087548
imagen40,44.28515625,3138.620328,1.218416119,3.611419295,0.942163169,0.006504378,0.993541221,0.946942412,0.998741117
imagen41,58.890625,14102.1527,2.202395911,6.601288661,0.996430823,0.008706944,0.992848836,0.930156927,0.998536124
imagen42,18.92578125,720.1474112,1.268384438,3.504860925,0.988699408,0.005264554,0.986051011,0.976925786,0.999293676
imagen43,51.55078125,5369.832705,1.824870306,5.756812038,0.924669106,0.014610195,0.990133964,0.93837473,0.998462
imagen44,52.21484375,5577.683073,1.823469051,5.804749561,0.945373209,0.015657471,0.989934095,0.93756336,0.998353751
imagen45,29.046875,2873.809559,2.633305768,11.23325246,0.970029249,0.01132748,0.990077248,0.96488185,0.998795203
imagen46,86.4765625,33112.84651,3.050765995,13.06378881,0.924669106,0.018695978,0.995487826,0.898939333,0.997730657
imagen47,46.59375,4335.70098,1.61527204,6.36107514,0.994666089,0.004283027,0.993507339,0.944305668,0.998811053
imagen48,74.89453125,12164.4555,1.569531477,4.588981422,0.867507134,0.015394478,0.994653121,0.91161395,0.998047468
imagen49,134.3085938,24038.19851,1.231271062,4.962893659,0.89154351,0.017568865,0.994587174,0.845118238,0.997375589
imagen50,81.51171875,23833.05869,2.635945938,10.63938227,0.998414427,0.008880707,0.995649979,0.904618633,0.998368779
