nivelGrises,pixeles
0,0
1,0
2,0
3,0
4,0
5,1
6,11
7,14
8,12
9,11
10,14
11,8
12,21
13,35
14,62
15,184
16,265
17,360
18,316
19,258
20,224
21,233
22,199
23,239
24,209
25,216
26,205
27,218
28,171
29,203
30,209
31,184
32,149
33,133
34,126
35,135
36,134
37,137
38,145
39,128
40,135
41,147
42,146
43,114
44,131
45,133
46,156
47,176
48,141
49,120
50,154
51,137
52,187
53,196
54,176
55,209
56,249
57,300
58,314
59,401
60,382
61,396
62,298
63,339
64,352
65,287
66,263
67,266
68,244
69,203
70,178
71,157
72,143
73,160
74,156
75,154
76,159
77,172
78,201
79,161
80,97
81,114
82,106
83,108
84,85
85,66
86,53
87,57
88,59
89,44
90,51
91,64
92,49
93,38
94,49
95,41
96,42
97,45
98,55
99,44
100,44
101,40
102,42
103,55
104,43
105,38
106,36
107,31
108,33
109,27
110,35
111,54
112,68
113,71
114,79
115,82
116,49
117,43
118,29
119,14
120,13
121,10
122,10
123,5
124,4
125,6
126,7
127,5
128,6
129,5
130,9
131,6
132,2
133,5
134,6
135,7
136,8
137,5
138,5
139,4
140,1
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
