nivelGrises,pixeles
0,0
1,0
2,0
3,0
4,0
5,0
6,4
7,196
8,1772
9,2430
10,2631
11,2045
12,687
13,373
14,351
15,289
16,271
17,193
18,203
19,159
20,143
21,138
22,163
23,131
24,122
25,126
26,138
27,104
28,106
29,106
30,70
31,87
32,86
33,93
34,102
35,97
36,92
37,108
38,117
39,126
40,140
41,163
42,160
43,133
44,126
45,137
46,159
47,146
48,134
49,117
50,150
51,167
52,168
53,182
54,218
55,236
56,249
57,225
58,243
59,241
60,215
61,187
62,168
63,149
64,149
65,114
66,120
67,107
68,119
69,118
70,135
71,140
72,136
73,143
74,128
75,134
76,130
77,103
78,125
79,113
80,115
81,100
82,90
83,73
84,68
85,70
86,70
87,52
88,56
89,38
90,41
91,29
92,30
93,31
94,27
95,26
96,18
97,25
98,18
99,21
100,20
101,14
102,19
103,20
104,20
105,20
106,11
107,15
108,16
109,16
110,16
111,6
112,17
113,17
114,8
115,5
116,7
117,4
118,2
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
