nivelGrises,pixeles
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,3
49,2
50,2
51,1
52,2
53,1
54,1
55,1
56,1
57,0
58,2
59,1
60,6
61,4
62,4
63,3
64,1
65,3
66,2
67,2
68,2
69,2
70,4
71,5
72,7
73,5
74,1
75,3
76,2
77,6
78,4
79,2
80,4
81,5
82,9
83,6
84,5
85,6
86,2
87,9
88,12
89,11
90,8
91,12
92,10
93,20
94,12
95,14
96,16
97,12
98,13
99,11
100,20
101,13
102,13
103,20
104,12
105,13
106,22
107,22
108,18
109,22
110,26
111,22
112,20
113,27
114,26
115,30
116,30
117,44
118,34
119,55
120,43
121,42
122,48
123,52
124,51
125,55
126,71
127,67
128,72
129,67
130,63
131,73
132,80
133,73
134,74
135,72
136,69
137,73
138,62
139,53
140,51
141,48
142,50
143,46
144,80
145,84
146,70
147,63
148,63
149,59
150,67
151,75
152,104
153,117
154,76
155,74
156,46
157,55
158,46
159,48
160,44
161,59
162,49
163,54
164,45
165,50
166,51
167,44
168,59
169,57
170,36
171,49
172,52
173,47
174,46
175,39
176,48
177,64
178,62
179,94
180,99
181,67
182,43
183,45
184,35
185,27
186,33
187,24
188,44
189,20
190,4
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
