nivelGrises,pixeles
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,15
8,180
9,135
10,161
11,106
12,122
13,206
14,274
15,303
16,458
17,346
18,319
19,295
20,321
21,336
22,277
23,293
24,243
25,266
26,268
27,237
28,243
29,239
30,225
31,237
32,250
33,242
34,244
35,265
36,315
37,347
38,374
39,471
40,390
41,395
42,369
43,337
44,306
45,253
46,241
47,261
48,244
49,271
50,262
51,246
52,304
53,246
54,230
55,257
56,256
57,292
58,262
59,276
60,261
61,272
62,267
63,254
64,221
65,229
66,229
67,248
68,240
69,232
70,229
71,227
72,215
73,228
74,219
75,245
76,309
77,305
78,329
79,335
80,314
81,346
82,289
83,284
84,212
85,211
86,213
87,209
88,183
89,220
90,245
91,151
92,133
93,140
94,136
95,149
96,131
97,130
98,99
99,88
100,72
101,50
102,34
103,13
104,5
105,2
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
