nivelGrises,pixeles
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,1
51,1
52,1
53,0
54,3
55,0
56,1
57,1
58,1
59,1
60,1
61,4
62,2
63,4
64,4
65,3
66,3
67,4
68,8
69,4
70,11
71,12
72,12
73,11
74,8
75,11
76,15
77,10
78,13
79,14
80,18
81,16
82,15
83,17
84,16
85,19
86,22
87,24
88,20
89,21
90,18
91,26
92,17
93,25
94,31
95,26
96,37
97,31
98,18
99,34
100,46
101,36
102,33
103,37
104,38
105,36
106,51
107,47
108,62
109,42
110,56
111,60
112,46
113,52
114,60
115,56
116,58
117,54
118,66
119,54
120,47
121,63
122,63
123,52
124,48
125,52
126,57
127,65
128,61
129,43
130,74
131,61
132,73
133,72
134,71
135,74
136,92
137,75
138,70
139,78
140,73
141,81
142,100
143,87
144,81
145,80
146,90
147,79
148,89
149,103
150,100
151,93
152,105
153,84
154,90
155,83
156,75
157,70
158,70
159,70
160,89
161,78
162,99
163,94
164,67
165,78
166,56
167,76
168,77
169,74
170,84
171,98
172,101
173,153
174,158
175,165
176,170
177,178
178,193
179,144
180,130
181,103
182,112
183,125
184,166
185,125
186,148
187,129
188,143
189,134
190,111
191,110
192,83
193,67
194,56
195,59
196,45
197,44
198,40
199,46
200,45
201,35
202,30
203,43
204,37
205,28
206,38
207,26
208,29
209,33
210,34
211,32
212,31
213,33
214,21
215,37
216,48
217,38
218,41
219,25
220,23
221,6
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
