nivelGrises,pixeles
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,6
29,23
30,44
31,56
32,85
33,67
34,62
35,46
36,53
37,48
38,67
39,54
40,69
41,78
42,61
43,81
44,97
45,108
46,118
47,125
48,117
49,126
50,119
51,140
52,178
53,121
54,94
55,73
56,68
57,77
58,85
59,93
60,84
61,74
62,60
63,66
64,67
65,61
66,66
67,56
68,53
69,51
70,58
71,36
72,48
73,35
74,40
75,39
76,35
77,39
78,41
79,40
80,41
81,40
82,45
83,34
84,43
85,43
86,38
87,41
88,56
89,47
90,63
91,58
92,54
93,56
94,48
95,41
96,40
97,40
98,39
99,34
100,36
101,33
102,34
103,36
104,34
105,24
106,23
107,30
108,20
109,21
110,24
111,26
112,18
113,17
114,25
115,20
116,28
117,24
118,19
119,25
120,29
121,16
122,25
123,19
124,20
125,18
126,35
127,25
128,24
129,15
130,26
131,21
132,20
133,10
134,20
135,17
136,13
137,21
138,8
139,13
140,13
141,8
142,10
143,11
144,13
145,9
146,9
147,14
148,10
149,13
150,14
151,7
152,10
153,8
154,6
155,5
156,5
157,7
158,2
159,3
160,4
161,2
162,3
163,2
164,3
165,2
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
